muri_code,muri_iso_name,muri_iso_scope,flores_code,method,confidence,multi_script,macro_mismatch,dominant_script,dominant_share,reason
eng,English,I,eng_Latn,direct,exact,False,False,LATIN,0.998,
spa,Spanish,I,spa_Latn,direct,exact,False,False,LATIN,1.0,
hin,Hindi,I,hin_Deva,direct,exact,False,False,DEVANAGARI,0.703,
zho,Chinese,M,zho_Hans,decision,assumed,True,False,HAN,0.767,"Hans vs Hant not separable by Unicode block; Simplified assumed. Pool membership unaffected: both variants are in NLLB, FLORES-200 and Belebele"
fra,French,I,fra_Latn,direct,exact,False,False,LATIN,0.928,
fas,Persian,M,pes_Arab,decision,assumed,False,True,ARABIC,0.761,"macrolanguage: pes (Iranian Persian) vs prs (Dari); pes, the dominant written variety, assumed"
jpn,Japanese,I,jpn_Jpan,direct,exact,False,False,HIRAGANA,0.343,
ara,Arabic,M,arb_Arab,decision,assumed,True,True,ARABIC,0.632,macrolanguage with 9 target members (arb + dialects); MURI 'Arabic' taken as Modern Standard Arabic
ben,Bengali,I,ben_Beng,direct,exact,False,False,BENGALI,0.822,
vie,Vietnamese,I,vie_Latn,direct,exact,False,False,LATIN,0.908,
msa,Malay (macrolanguage),M,zsm_Latn,decision,assumed,False,True,LATIN,0.955,"macrolanguage with 6 target members incl. ind_Latn; MURI has no separate 'ind', so this pool may contain Indonesian: verify on text before selecting"
guj,Gujarati,I,guj_Gujr,direct,exact,False,False,GUJARATI,0.817,
tel,Telugu,I,tel_Telu,direct,exact,False,False,TELUGU,0.883,
ita,Italian,I,ita_Latn,direct,exact,False,False,LATIN,0.998,
tam,Tamil,I,tam_Taml,direct,exact,False,False,TAMIL,0.832,
por,Portuguese,I,por_Latn,direct,exact,False,False,LATIN,0.994,
deu,German,I,deu_Latn,direct,exact,False,False,LATIN,0.998,
mal,Malayalam,I,mal_Mlym,direct,exact,False,False,MALAYALAM,0.906,
mar,Marathi,I,mar_Deva,direct,exact,False,False,DEVANAGARI,0.836,
cat,Catalan,I,cat_Latn,direct,exact,False,False,LATIN,0.989,
nld,Dutch,I,nld_Latn,direct,exact,False,False,LATIN,0.999,
ori,Oriya (macrolanguage),M,ory_Orya,macro->member,inferred,False,True,ORIYA,0.834,macrolanguage ori -> only matching member ory (script ORIYA (83%))
urd,Urdu,I,urd_Arab,direct,exact,False,False,ARABIC,0.889,
pan,Panjabi,I,pan_Guru,direct,exact,False,False,GURMUKHI,0.894,
rus,Russian,I,rus_Cyrl,direct,exact,False,False,CYRILLIC,0.949,
tha,Thai,I,tha_Thai,direct,exact,False,False,THAI,0.893,
pol,Polish,I,pol_Latn,direct,exact,False,False,LATIN,0.997,
swa,Swahili (macrolanguage),M,swh_Latn,macro->member,inferred,False,True,LATIN,1.0,macrolanguage swa -> only matching member swh (script LATIN (100%))
kor,Korean,I,kor_Hang,direct,exact,False,False,HANGUL,0.829,
kan,Kannada,I,kan_Knda,direct,exact,False,False,KANNADA,0.937,
asm,Assamese,I,asm_Beng,direct,exact,False,False,BENGALI,0.882,
eus,Basque,I,eus_Latn,direct,exact,False,False,LATIN,0.987,
tur,Turkish,I,tur_Latn,direct,exact,False,False,LATIN,1.0,
ces,Czech,I,ces_Latn,direct,exact,False,False,LATIN,1.0,
hbs,Serbo-Croatian,M,,decision,-,False,False,LATIN,0.791,ambiguous: Serbo-Croatian macrolanguage; its Latin-script text (79%) cannot be split between hrv/bos/srp without a classifier
bul,Bulgarian,I,bul_Cyrl,direct,exact,False,False,CYRILLIC,0.882,
heb,Hebrew,I,heb_Hebr,direct,exact,False,False,HEBREW,0.947,
swe,Swedish,I,swe_Latn,direct,exact,False,False,LATIN,0.999,
glg,Galician,I,glg_Latn,direct,exact,False,False,LATIN,0.99,
est,Estonian,M,est_Latn,direct,exact,False,False,LATIN,0.994,macrolanguage code used by both MURI and the target
khm,Khmer,I,khm_Khmr,direct,exact,False,False,KHMER,0.917,
kur,Kurdish,M,,decision,-,False,False,ARABIC,0.567,"ambiguous: text is 57% Arabic / 43% Latin script, i.e. Sorani (ckb_Arab) and Kurmanji (kmr_Latn) mixed under one code; recoverable by a per-row script split if ever needed"
nep,Nepali (macrolanguage),M,npi_Deva,macro->member,inferred,False,True,DEVANAGARI,0.901,macrolanguage nep -> only matching member npi (script DEVANAGARI (90%))
fin,Finnish,I,fin_Latn,direct,exact,False,False,LATIN,1.0,
mya,Burmese,I,mya_Mymr,direct,exact,False,False,MYANMAR,0.969,
sin,Sinhala,I,sin_Sinh,direct,exact,False,False,SINHALA,0.883,
ron,Romanian,I,ron_Latn,direct,exact,False,False,LATIN,1.0,
nor,Norwegian,M,nob_Latn,decision,assumed,False,True,LATIN,1.0,"macrolanguage: nob (Bokmal) vs nno (Nynorsk); Bokmal assumed, pool may contain Nynorsk"
