flores_code,language_name,script,muri_codes,mapping_method,mapping_confidence,muri_n_examples,muri_n_train,muri_n_mri,muri_n_after_dedup,muri_n_empty,mean_instruction_len,mean_response_len,in_nllb,in_flores,in_belebele,joshi_level,joshi_match,joshi_match_method,in_pool,mri_clean_lo,mri_clean_hi,volume_for_threshold,passes_ge_500,passes_ge_1000,passes_ge_2000,passes_ge_5000,passes_volume_threshold
spa_Latn,Spanish,Latn,spa,direct,exact,38090,34281,15000,38090,1,352.6,1893.6,True,True,True,5,spanish,name,True,15000,15000,15000,True,True,True,True,True
pes_Arab,Iranian Persian,Arab,fas,decision,assumed,28595,25735,15000,28595,0,272.5,970.5,True,True,True,4,persian,muri-name,True,15000,15000,15000,True,True,True,True,True
jpn_Jpan,Japanese,Jpan,jpn,direct,exact,28448,25603,15000,28448,1,145.3,1268.0,True,True,True,5,japanese,name,True,15000,15000,15000,True,True,True,True,True
tel_Telu,Telugu,Telu,tel,direct,exact,23914,21523,15000,23914,0,205.4,2062.3,True,True,True,1,telugu,name,True,15000,15000,15000,True,True,True,True,True
tam_Taml,Tamil,Taml,tam,direct,exact,23565,21208,15000,23565,1,211.8,1724.9,True,True,True,3,tamil,name,True,15000,15000,15000,True,True,True,True,True
deu_Latn,German,Latn,deu,direct,exact,22670,20402,15000,22670,1,190.2,3076.1,True,True,True,5,german,name,True,15000,15000,15000,True,True,True,True,True
cat_Latn,Catalan,Latn,cat,direct,exact,22025,19822,15000,22025,0,219.1,2005.4,True,True,True,4,catalan,name,True,15000,15000,15000,True,True,True,True,True
pol_Latn,Polish,Latn,pol,direct,exact,20557,18501,15000,20557,0,154.0,1762.0,True,True,True,4,polish,name,True,15000,15000,15000,True,True,True,True,True
kor_Hang,Korean,Hang,kor,direct,exact,20207,18187,15000,20207,1,58.4,1540.8,True,True,True,4,korean,name,True,15000,15000,15000,True,True,True,True,True
swe_Latn,Swedish,Latn,swe,direct,exact,16800,15120,15000,16800,0,98.1,1918.3,True,True,True,4,swedish,name,True,15000,15000,15000,True,True,True,True,True
est_Latn,Estonian,Latn,est,direct,exact,16000,14400,15000,16000,0,75.5,3044.5,True,True,True,3,estonian,name,True,15000,15000,15000,True,True,True,True,True
fin_Latn,Finnish,Latn,fin,direct,exact,15600,14040,15000,15600,0,92.2,2756.2,True,True,True,4,finnish,name,True,15000,15000,15000,True,True,True,True,True
ron_Latn,Romanian,Latn,ron,direct,exact,15400,13860,15000,15400,0,68.7,2731.2,True,True,True,3,romanian,name,True,15000,15000,15000,True,True,True,True,True
afr_Latn,Afrikaans,Latn,afr,direct,exact,15000,13500,15000,15000,0,54.0,3683.7,True,True,True,3,afrikaans,name,True,15000,15000,15000,True,True,True,True,True
ceb_Latn,Cebuano,Latn,ceb,direct,exact,15000,13500,15000,15000,0,62.6,1361.5,True,True,True,3,cebuano,name,True,15000,15000,15000,True,True,True,True,True
dan_Latn,Danish,Latn,dan,direct,exact,15000,13500,15000,15000,0,63.4,2754.4,True,True,True,3,danish,name,True,15000,15000,15000,True,True,True,True,True
ell_Grek,Modern Greek (1453-),Grek,ell,direct,exact,15000,13500,15000,15000,0,70.2,3229.7,True,True,True,3,greek,last-word,True,15000,15000,15000,True,True,True,True,True
hun_Latn,Hungarian,Latn,hun,direct,exact,15000,13500,15000,15000,0,63.6,3059.9,True,True,True,4,hungarian,name,True,15000,15000,15000,True,True,True,True,True
isl_Latn,Icelandic,Latn,isl,direct,exact,15000,13500,15000,15000,0,55.9,2578.7,True,True,True,2,icelandic,name,True,15000,15000,15000,True,True,True,True,True
kaz_Cyrl,Kazakh,Cyrl,kaz,direct,exact,15000,13500,15000,15000,0,62.7,2599.5,True,True,True,3,kazakh,name,True,15000,15000,15000,True,True,True,True,True
lit_Latn,Lithuanian,Latn,lit,direct,exact,15000,13500,15000,15000,0,63.4,2666.2,True,True,True,3,lithuanian,name,True,15000,15000,15000,True,True,True,True,True
lvs_Latn,Standard Latvian,Latn,lav,decision,assumed,15000,13500,15000,15000,0,63.6,2775.1,True,True,True,3,latvian,muri-name,True,15000,15000,15000,True,True,True,True,True
slv_Latn,Slovenian,Latn,slv,direct,exact,15000,13500,15000,15000,0,64.4,3491.1,True,True,True,3,slovenian,name,True,15000,15000,15000,True,True,True,True,True
