config,split,num_rows,num_bytes_parquet_files
acm_Arab,test,900,355803
afr_Latn,test,900,311828
als_Latn,test,900,332316
amh_Ethi,test,900,389951
apc_Arab,test,900,346981
arb_Arab,test,900,365287
arb_Latn,test,900,335638
ars_Arab,test,900,361057
ary_Arab,test,900,362755
arz_Arab,test,900,356758
asm_Beng,test,900,466142
azj_Latn,test,900,342756
bam_Latn,test,900,300285
ben_Beng,test,900,461425
ben_Latn,test,900,325109
bod_Tibt,test,900,477888
bul_Cyrl,test,900,414057
cat_Latn,test,900,327057
ceb_Latn,test,900,321415
ces_Latn,test,900,342770
ckb_Arab,test,900,390250
dan_Latn,test,900,309389
deu_Latn,test,900,334985
ell_Grek,test,900,480118
eng_Latn,test,900,297082
est_Latn,test,900,310011
eus_Latn,test,900,308682
fin_Latn,test,900,326551
fra_Latn,test,900,348015
fuv_Latn,test,900,294052
gaz_Latn,test,900,331354
grn_Latn,test,900,310553
guj_Gujr,test,900,443236
hat_Latn,test,900,282988
hau_Latn,test,900,305302
heb_Hebr,test,900,331972
hin_Deva,test,900,443991
hin_Latn,test,900,322463
hrv_Latn,test,900,319130
hun_Latn,test,900,343927
hye_Armn,test,900,431747
ibo_Latn,test,900,313703
ilo_Latn,test,900,323658
ind_Latn,test,900,300363
isl_Latn,test,900,321254
ita_Latn,test,900,339575
jav_Latn,test,900,295332
jpn_Jpan,test,900,332756
kac_Latn,test,900,321515
kan_Knda,test,900,480386
kat_Geor,test,900,471936
kaz_Cyrl,test,900,401334
kea_Latn,test,900,304178
khk_Cyrl,test,900,407644
khm_Khmr,test,900,543655
kin_Latn,test,900,319475
kir_Cyrl,test,900,416975
kor_Hang,test,900,326361
lao_Laoo,test,900,464431
lin_Latn,test,900,283113
lit_Latn,test,900,325395
lug_Latn,test,900,316650
luo_Latn,test,900,296912
lvs_Latn,test,900,332938
mal_Mlym,test,900,513728
mar_Deva,test,900,460660
mkd_Cyrl,test,900,404635
mlt_Latn,test,900,332775
mri_Latn,test,900,294303
mya_Mymr,test,900,518533
nld_Latn,test,900,318541
nob_Latn,test,900,304277
npi_Deva,test,900,447882
npi_Latn,test,900,310748
nso_Latn,test,900,322074
nya_Latn,test,900,320248
ory_Orya,test,900,466942
pan_Guru,test,900,452055
pbt_Arab,test,900,384460
pes_Arab,test,900,376328
plt_Latn,test,900,322101
pol_Latn,test,900,341534
por_Latn,test,900,324134
ron_Latn,test,900,339137
rus_Cyrl,test,900,443022
shn_Mymr,test,900,553537
sin_Latn,test,900,342164
sin_Sinh,test,900,484930
slk_Latn,test,900,340804
slv_Latn,test,900,320118
sna_Latn,test,900,318079
snd_Arab,test,900,362054
som_Latn,test,900,347653
sot_Latn,test,900,322649
spa_Latn,test,900,336849
srp_Cyrl,test,900,399462
ssw_Latn,test,900,321746
sun_Latn,test,900,302838
swe_Latn,test,900,307693
swh_Latn,test,900,297862
tam_Taml,test,900,497547
tel_Telu,test,900,469146
tgk_Cyrl,test,900,428525
tgl_Latn,test,900,328924
tha_Thai,test,900,463559
tir_Ethi,test,900,405715
tsn_Latn,test,900,337355
tso_Latn,test,900,322612
tur_Latn,test,900,319681
ukr_Cyrl,test,900,429177
urd_Arab,test,900,390841
urd_Latn,test,900,340567
uzn_Latn,test,900,317722
vie_Latn,test,900,346886
war_Latn,test,900,326506
wol_Latn,test,900,312649
xho_Latn,test,900,320386
yor_Latn,test,900,326911
zho_Hans,test,900,298636
zho_Hant,test,900,293796
zsm_Latn,test,900,298280
zul_Latn,test,900,321956
